site,ER_kg_h
N001,5.6
N001,2.5
N001,0.8
N002,2.2
N002,2.7
N002,4.2
N003,1.5
N003,6.2
N003,8.3
N004,4.2
N004,12.5
N004,4.4
N005,11.9
N005,6.3
N005,11.0
N006,2.0
N006,5.3
N006,6.4
N007,9.3
N007,12.4
N007,14.9
N008,1.6
N008,18.7
N008,1.3
N009,1.8
N009,1.8
N009,1.6
N010,0.6
N010,1.6
N010,4.2
N011,7.3
N011,11.4
N011,6.5
N012,2.1
N012,8.8
N012,8.9
N013,24.3
N013,10.6
N013,22.9
N013,16.0
N013,21.3
N013,35.0
N013,10.4
N013,9.9
N013,28.7
N013,26.0
N013,18.0
N013,19.1
N013,44.3
N014,4.7
N015,15.6
N016,6.4
N017,7.3
N018,8.6
N019,0.2
N020,19.4
N021,9.3
N022,7.1
S001,0.5
S002,1.1
S003,2.6
S004,3.8
S005,0.8
S006,2.3
S007,4.3
S008,8.5
S009,14.2
S010,0.4
S011,5.3
S012,31.9
S013,3.1
S014,3.6
S015,6.2
S016,14.0
S017,0.7
S018,0.5
S019,10.2
S020,16.0
S021,5.3
Z001,2.2
Z002,0.6
Z003,11.4
Z004,1.6
Z005,9.8
Z006,2.3
Z007,1.4
Z008,5.2
Z009,11.7
Z010,4.0
Z011,5.0
Z012,1.4
Z013,4.0
X001,16.2
X002,37.0
X003,3.9
X004,12.1
X005,6.7
X006,12.7
X007,4.4
X008,7.2
X009,28.5
X010,25.1
X011,6.6
X012,8.5
X013,9.1
X014,3.3
X015,41.1
X016,23.6
X017,25.8
X018,13.1
X019,18.2
X020,17.6
X021,13.0
X022,73.9
X023,41.7
G001,4.6
G002,5.2
G003,7.9
G004,1.3
G005,3.0
G006,11.8
G007,6.3
G008,13.8
G009,3.6
G010,4.1
G011,1.4
G012,1.1
G013,1.2
G014,1.4
G015,0.9
G016,4.0
G017,11.6
G018,1.7
G019,4.3
G020,9.1
G021,3.4
G022,8.0
G023,1.1
G024,3.9
G025,5.5
G026,26.0
